RSI,MACD,MACD_signal
63.482021725132846,637.3393067428115,572.0153098880611
61.9480767476141,630.8472649502219,583.7817009004933
53.98095520688552,566.6624770506023,580.3578561305152
49.42741288796149,475.3898087298294,559.364246650378
51.477458190734474,414.52045538756647,530.3954883978157
52.128491352390306,367.1094183771056,497.7382743936737
49.23488304092479,305.4329715070635,459.2772138163517
51.21415677059565,267.439596078897,420.9096902688608
46.44081242848117,200.820745289544,376.8919012729975
43.05540533519623,119.85679387007258,325.48487979241247
44.00617345405587,60.78524453721184,272.54495274137236
53.486084728251726,78.73311620476306,233.7825854340505
52.07229988310286,82.23001718414889,203.4720717840702
61.098493530823696,162.83311604622577,195.34428063650134
51.437595500865946,151.1549386185652,186.50641223291413
63.32343227204303,279.16041284339735,205.03721235501078
62.217722447934115,366.9046400811785,237.41069790024432
59.45468883377201,408.3277851810708,271.59411535640965
60.476586880139486,448.63916341964796,307.00312496905735
60.97743722949425,481.0253524849977,341.80757047224546
59.762749096843564,492.1065507272433,371.86736652324504
57.10586070859724,476.0717453531979,392.7082422892356
59.97791056966703,486.72491213587637,411.5115762585638
59.79238225203,488.29220904954127,426.86770281675933
63.30099064703282,519.3273025397357,445.3596227613546
65.18265265518836,558.0661672111019,467.90093165130406
66.69295966439753,598.7624723842455,494.07323979789237
52.38613396197514,526.1625693445822,500.49110570723036
50.900146036010376,450.9446103323571,490.58180663225573
49.224306336589564,373.1198890511878,467.0894231160422
50.531903540144974,318.14792919786123,437.30112433240606
52.75284739423601,288.8330554757413,407.6075105610731
53.03084139689304,264.7015383946127,379.0263161277811
59.49450077819319,296.357454773839,362.4925438569927
70.80252395591413,457.8001533071365,381.55406574702147
70.48091428422497,576.9443740576535,420.63212740914787
71.31498705214432,676.3480299270595,471.7753079127302
47.930533540882855,543.9865861788421,486.2175635659527
50.493777580836486,463.7812774168124,481.7303063361246
59.86119078588396,526.3828015785548,490.6608053846107
57.257485928474345,540.2582657898602,500.58029746566064
58.20268275322524,559.0563273139414,512.2755034353168
59.95663883507844,593.3167307608528,528.483748900424
64.43427319339247,685.5616994926095,559.8993390188612
65.84612568339946,774.7931513537915,602.8781014858473
65.54070772457993,833.173996528727,648.9372804944232
68.13115227495196,913.3599692837015,701.821818252279
73.27414362380327,1070.2230537010328,775.5020653420297
70.48228823880221,1157.119623501494,851.8255769739226
65.09061125911047,1163.9573391742015,914.2519294139785
62.74047257492289,1134.1988846251916,958.2413204562212
64.92792125924896,1133.0087691280933,993.1948101905956
59.481287612045364,1068.400800928066,1008.2360083380897
61.721318318736536,1038.4893637237255,1014.286679415217
61.57830441327603,1001.9371053587965,1011.816764603933
62.60401792685561,975.9809245275101,1004.6495965886485
66.06353130840394,994.5173535112262,1002.6231479731641
59.4977508214811,942.3288878601452,990.5642959505604
59.34595418395835,889.3782792974962,970.3270926199476
61.830058018943504,869.1046312293765,950.0826003418334
61.433988199177996,840.2451675722259,928.115113787912
63.08719156395105,827.9980645066826,908.0917039316662
64.55969347082545,826.9124075236468,891.8558446500624
58.531916659918224,773.6196288899519,868.2086014980404
57.33711354716021,714.1345216539776,837.3937855292279
54.70223687499998,639.8565086154849,797.8863301464794
56.373614841283526,589.492065253522,756.207477167888
61.78306070904743,597.183375266206,724.4026567875516
60.78977849331965,589.8122549027321,697.4845764105877
57.354091874916364,554.5096135364438,668.889583835759
56.69064547770808,516.1465798331046,638.3409830352282
54.55536311103459,466.43062374263536,603.9589111767096
51.46333433864489,401.7566339424957,563.5184557298669
51.59361142797264,347.40753499431594,520.2962715827567
47.57688383202591,274.58556248513923,471.15412976323324
49.98756272067384,229.51175994962978,422.82565580051255
52.70571733772858,209.1175071374746,380.084026067905
57.25572981130085,222.64728049391124,348.5966769531062
53.46242340481148,208.87023932879674,320.6513894282444
35.23590252119369,37.35717016150011,263.99254557489553
31.38376559765075,-150.3800455127348,181.1180273573695
43.6115379987554,-198.25484359923576,105.24345316604845
43.93742364288055,-230.5511116886628,38.08454019510621
39.122722526497775,-311.62105265117134,-31.8565783741493
40.361744962656346,-361.30592317563423,-97.74644733444629
43.65963989364949,-368.6610106443695,-151.92935999643095
39.43608166984963,-419.5964095370291,-205.4627699045506
38.924908541166005,-460.94515329011483,-256.5592465816635
35.84912091638004,-526.3418596118863,-310.5157691877081
36.37257233609922,-567.8821638855006,-361.98904812726664
33.30734838613777,-632.6873348818044,-416.1287054781742
30.5698259077598,-714.4669151793933,-475.796347418418
31.184935819655898,-766.5377895985439,-533.9446358544432
32.6792984816149,-789.6194400454697,-585.0795966926485
36.93260329442286,-772.810824982007,-622.6258423505202
43.58393320693508,-705.9661171689368,-639.2938973142036
44.90526974270519,-636.0751795129327,-638.6501537539494
42.64660355775555,-593.9629613549187,-629.7127152741433
40.23720206017148,-576.1926142356388,-619.0086950664424
37.1826224184468,-585.3980389799399,-612.286563849142
45.17204200931264,-533.0118841331132,-596.4316279059362
44.35221044549749,-493.03718293823476,-575.752738912396
53.770336572420305,-381.6480331936473,-536.9317977686463
54.77342072364988,-280.968351391537,-485.73910849322453
50.3030325882208,-233.34229469312413,-435.2597457332045
48.46529445026456,-208.23399050271837,-389.8545946871073
52.18829576176934,-156.7692622566392,-343.2375282010137
51.866725721743805,-117.00585109794338,-297.9911927803996
52.59423080088146,-79.09667311210069,-254.21228884673985
51.63420900626774,-54.68786787404679,-214.30740465220126
50.446127301992846,-42.3613353613473,-179.91819079403047
52.141613152455605,-21.612156493996736,-148.25698393402374
50.7855975333607,-12.797020270343637,-121.16499120128772
